@relation spambase
@attribute V1 real
@attribute V2 real
@attribute V3 real
@attribute V4 real
@attribute V5 real
@attribute V6 real
@attribute V7 real
@attribute V8 real
@attribute V9 real
@attribute V10 real
@attribute V11 real
@attribute V12 real
@attribute V13 real
@attribute V14 real
@attribute V15 real
@attribute V16 real
@attribute V17 real
@attribute V18 real
@attribute V19 real
@attribute V20 real
@attribute V21 real
@attribute V22 real
@attribute V23 real
@attribute V24 real
@attribute V25 real
@attribute V26 real
@attribute V27 real
@attribute V28 real
@attribute V29 real
@attribute V30 real
@attribute V31 real
@attribute V32 real
@attribute V33 real
@attribute V34 real
@attribute V35 real
@attribute V36 real
@attribute V37 real
@attribute V38 real
@attribute V39 real
@attribute V40 real
@attribute V41 real
@attribute V42 real
@attribute V43 real
@attribute V44 real
@attribute V45 real
@attribute V46 real
@attribute V47 real
@attribute V48 real
@attribute V49 real
@attribute V50 real
@attribute V51 real
@attribute V52 real
@attribute V53 real
@attribute V54 real
@attribute V55 real
@attribute V56 real
@attribute V57 real
@attribute class{1,2}
@data
0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,5.19,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208,0.0,4.8180000000000005,25,53,"1"
0.0,0.0,0.0,0.0,0.36,0.36,0.0,0.36,0.36,0.36,0.0,0.36,0.0,0.0,0.0,0.0,0.73,0.0,2.94,0.0,4.04,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653,0.118,0.0,1.53,13,75,"1"
0.0,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.19,0.0,0.09,0.0,0.0,0.0,0.09,0.19,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.09,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.015,0.13699999999999998,0.0,0.061,0.0,0.0,3.626,44,990,"1"
0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.99,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.0,0.0,0.265,0.08800000000000001,10.159,114,447,"1"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666,12,23,"1"
0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.43,1.29,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.061,0.0,0.0,1.456,13,67,"1"
1.03,0.0,0.68,0.0,1.03,0.0,0.68,0.0,0.0,0.68,0.0,0.68,0.0,0.0,0.34,0.68,0.0,0.0,5.86,0.0,1.37,0.0,0.34,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.366,0.061,0.0,1.895,12,91,"1"
0.77,0.38,0.77,0.0,0.0,0.57,0.0,0.57,1.15,1.15,0.0,0.38,0.38,0.0,1.15,0.19,0.19,2.12,2.12,1.15,1.15,0.0,1.35,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027000000000000003,0.027000000000000003,0.0,0.438,0.191,0.054000000000000006,14.619000000000002,525,921,"1"
1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,1.17,0.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.924,0.0,0.0,1.966,10,59,"1"
0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,2.77,0.0,4.16,4.16,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715,0.0,0.0,1.181,2,13,"1"
0.0,0.0,0.53,0.0,0.21,0.1,0.1,0.53,0.1,0.21,0.0,0.64,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.0,0.016,0.066,0.0,2.104,29,381,"1"
0.0,0.0,0.0,0.0,0.49,0.0,0.98,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,2.46,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.466,0.0,0.0,0.0,0.0,2.373,12,197,"1"
0.58,0.0,0.34,0.0,0.11,0.11,0.0,0.0,0.0,0.23,0.23,0.93,0.93,0.0,0.0,0.58,0.23,0.11,4.19,0.0,1.51,0.0,0.58,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.11,0.0,0.125,0.0,0.733,0.104,0.335,8.192,326,1360,"1"
0.09,0.0,0.67,0.0,0.29,0.0,0.0,0.0,0.19,0.38,0.09,1.35,1.06,0.0,0.0,0.29,0.19,0.0,2.51,0.0,1.35,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.19,0.0,0.149,0.0,0.374,0.059,0.0,9.039,148,1148,"1"
