class,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,Binary_label
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.102,0.716,0.0,4.512,43,185,1
1,0.08,0.08,0.76,0.0,0.85,1.02,0.25,0.17,0.59,0.08,0.17,0.59,0.17,0.0,2.21,0.25,0.08,0.93,1.61,0.17,0.42,0.0,0.85,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.17,0.08,0.08,0.08,0.0,0.0,0.0,0.063,0.0,0.39399999999999996,0.114,0.012,7.54,669,1410,1
1,0.0,0.0,0.0,0.0,1.03,0.0,1.03,0.0,0.0,0.0,0.0,2.06,0.0,0.0,0.0,2.06,0.0,0.0,3.09,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,60,84,1
1,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.695,15,62,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.57,0.0,1.15,0.57,0.0,0.0,0.0,0.0,0.57,4.62,0.0,1.15,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.518,0.0,0.0,10.117,33,172,1
1,0.0,0.0,1.29,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59,0.0,0.0,1.29,0.0,1.29,1.29,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439,0.0,1.0979999999999999,0.0,0.439,3.571,36,125,1
1,0.43,0.0,0.87,0.0,0.87,0.0,0.87,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.43,0.43,4.38,0.0,1.31,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.145,0.0,1.021,0.218,0.0,3.35,59,134,1
1,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,1.96,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33399999999999996,0.0,0.0,3.214,22,45,1
1,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.45,0.22,0.22,0.0,0.0,0.22,0.22,0.0,0.22,1.58,0.0,1.13,13.34,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037000000000000005,0.15,1.584,13.936,114,1324,1
1,0.0,0.37,0.0,0.0,0.37,0.37,0.37,0.74,0.37,0.37,0.0,0.74,0.37,0.0,0.0,0.37,1.49,0.0,3.73,2.61,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,1.199,0.505,0.0,3.3369999999999997,64,267,1
1,0.0,0.0,0.0,9.16,0.27,0.0,0.55,0.27,0.27,0.27,0.0,0.27,0.0,0.0,0.0,0.0,1.11,0.0,0.55,0.27,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,0.0,0.0,0.301,0.0,0.043,19.482,694,1130,1
1,0.0,0.0,0.99,0.0,0.24,0.0,0.0,0.0,0.24,0.49,0.0,0.49,0.0,0.0,0.24,0.24,0.0,0.0,0.24,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,5.555,209,400,1
