scores,class
0.35,1
0.23,1
0.025,1
0.075,1
0.595,1
0.0,0
0.015,0
0.035,0
0.02,0
0.0,0
0.0,0
0.005,0
0.105,0
0.0,0
0.12,0
0.005,0
0.09,0
0.0,0
0.205,0
0.0,0
0.01,0
0.005,0
0.05,0
0.005,0
0.0,0
0.015,0
0.005,0
0.0,0
0.0,0
0.035,0
0.0,0
0.04,0
0.035,0
0.0,0
0.0,0
0.01,0
0.005,0
0.0,0
0.09,0
0.0,0
0.015,0
0.0,0
0.115,0
0.0,0
0.0,0
0.03,0
0.035,0
0.04,0
0.0,0
0.0,0
0.0,0
0.055,0
0.0,0
0.015,0
0.03,0
0.0,0
0.09,0
0.0,0
0.06,0
0.065,0
0.025,0
0.055,0
0.0,0
0.19,0
0.07,0
0.16,0
0.0,0
0.01,0
0.03,0
0.005,0
0.01,0
0.005,0
0.0,0
0.0,0
0.08,0
0.01,0
0.01,0
0.055,0
0.22,0
0.01,0
0.0,0
0.0,0
0.0,0
0.0,0
0.015,0
0.01,0
0.0,0
0.0,0
0.015,0
0.0,0
0.01,0
0.025,1
0.68,1
0.105,1
0.09,1
0.53,1
0.0,0
0.0,0
0.025,0
0.015,0
0.005,0
0.07,0
0.01,0
0.08,0
0.0,0
0.05,0
0.02,0
0.0,0
0.02,0
0.0,0
0.0,0
0.035,0
0.01,0
0.0,0
0.005,0
0.015,0
0.0,0
0.21,0
0.06,0
0.005,0
0.005,0
0.0,0
0.03,0
0.195,0
0.0,0
0.0,0
0.0,0
0.005,0
0.0,0
0.045,0
0.005,0
0.0,0
0.0,0
0.0,0
0.0,0
0.005,0
0.0,0
0.015,0
0.01,0
0.01,0
0.125,0
0.005,0
0.0,0
0.015,0
0.025,0
0.055,0
0.0,0
0.04,0
0.0,0
0.01,0
0.0,0
0.0,0
0.0,0
0.02,0
0.0,0
0.0,0
0.005,0
0.005,0
0.05,0
0.0,0
0.0,0
0.04,0
0.005,0
0.0,0
0.0,0
0.015,0
0.01,0
0.095,0
0.01,0
0.16,0
0.005,0
0.01,0
0.0,0
0.0,0
0.025,0
0.0,0
0.0,0
0.0,0
0.0,0
0.02,0
0.0,0
0.0,0
0.22,1
0.84,1
0.305,1
0.285,1
0.07,1
0.16,0
0.0,0
0.065,0
0.0,0
0.165,0
0.0,0
0.075,0
0.04,0
0.0,0
0.0,0
0.005,0
0.0,0
0.08,0
0.005,0
0.0,0
0.215,0
0.02,0
0.0,0
0.0,0
0.005,0
0.0,0
0.0,0
0.075,0
0.005,0
0.0,0
0.015,0
0.06,0
0.01,0
0.0,0
0.0,0
0.0,0
0.48,0
0.0,0
0.01,0
0.0,0
0.02,0
0.115,0
0.005,0
0.01,0
0.01,0
0.005,0
0.0,0
0.01,0
0.005,0
0.0,0
0.02,0
0.01,0
0.295,0
0.01,0
0.0,0
0.0,0
0.025,0
0.015,0
0.08,0
0.035,0
0.045,0
0.0,0
0.0,0
0.0,0
0.03,0
0.01,0
0.01,0
0.0,0
0.0,0
0.025,0
0.035,0
0.0,0
0.08,0
0.0,0
0.0,0
0.0,0
0.005,0
0.005,0
0.045,0
0.0,0
0.0,0
0.01,0
0.005,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.13,0
0.0,0
0.14,0
0.24,1
0.14,1
0.165,1
0.48,1
0.58,1
0.0,0
0.06,0
0.005,0
0.02,0
0.01,0
0.0,0
0.07,0
0.005,0
0.06,0
0.0,0
0.0,0
0.0,0
0.05,0
0.075,0
0.125,0
0.0,0
0.0,0
0.025,0
0.0,0
0.0,0
0.005,0
0.0,0
0.03,0
0.005,0
0.015,0
0.005,0
0.0,0
0.005,0
0.0,0
0.015,0
0.0,0
0.03,0
0.02,0
0.015,0
0.0,0
0.035,0
0.0,0
0.04,0
0.065,0
0.01,0
0.04,0
0.03,0
0.175,0
0.02,0
0.0,0
0.03,0
0.0,0
0.025,0
0.0,0
0.03,0
0.0,0
0.0,0
0.0,0
0.015,0
0.0,0
0.01,0
0.0,0
0.02,0
0.02,0
0.0,0
0.0,0
0.005,0
0.0,0
0.04,0
0.0,0
0.175,0
0.0,0
0.02,0
0.005,0
0.215,0
0.01,0
0.045,0
0.06,0
0.015,0
0.0,0
0.0,0
0.01,0
0.0,0
0.0,0
0.02,0
0.24,0
0.035,0
0.0,0
0.0,0
0.005,0
0.0,0
0.32,1
0.555,1
0.735,1
0.625,1
0.01,1
0.12,0
0.005,0
0.0,0
0.005,0
0.0,0
0.0,0
0.045,0
0.0,0
0.035,0
0.0,0
0.0,0
0.0,0
0.005,0
0.0,0
0.0,0
0.17,0
0.01,0
0.005,0
0.005,0
0.145,0
0.0,0
0.0,0
0.0,0
0.025,0
0.0,0
0.0,0
0.005,0
0.0,0
0.065,0
0.025,0
0.14,0
0.06,0
0.02,0
0.0,0
0.035,0
0.565,0
0.24,0
0.005,0
0.0,0
0.0,0
0.035,0
0.015,0
0.0,0
0.005,0
0.135,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.145,0
0.0,0
0.02,0
0.005,0
0.01,0
0.0,0
0.02,0
0.0,0
0.01,0
0.125,0
0.0,0
0.0,0
0.02,0
0.0,0
0.0,0
0.0,0
0.025,0
0.07,0
0.01,0
0.015,0
0.0,0
0.0,0
0.05,0
0.01,0
0.0,0
0.035,0
0.005,0
0.01,0
0.1,0
0.0,0
0.035,0
0.005,0
0.0,0
0.025,0
0.015,0
0.005,0
0.25,1
0.62,1
0.38,1
0.365,1
0.02,0
0.06,0
0.0,0
0.005,0
0.005,0
0.005,0
0.0,0
0.025,0
0.0,0
0.005,0
0.0,0
0.0,0
0.0,0
0.0,0
0.01,0
0.005,0
0.025,0
0.025,0
0.0,0
0.0,0
0.005,0
0.03,0
0.0,0
0.0,0
0.005,0
0.0,0
0.005,0
0.0,0
0.085,0
0.02,0
0.0,0
0.0,0
0.19,0
0.0,0
0.0,0
0.02,0
0.005,0
0.015,0
0.0,0
0.0,0
0.0,0
0.065,0
0.0,0
0.01,0
0.055,0
0.0,0
0.0,0
0.005,0
0.0,0
0.0,0
0.0,0
0.005,0
0.0,0
0.005,0
0.005,0
0.06,0
0.005,0
0.0,0
0.15,0
0.0,0
0.025,0
0.0,0
0.085,0
0.0,0
0.025,0
0.0,0
0.0,0
0.18,0
0.0,0
0.0,0
0.01,0
0.125,0
0.03,0
0.005,0
0.0,0
0.185,0
0.0,0
0.0,0
0.025,0
0.005,0
0.01,0
0.0,0
0.0,0
0.0,0
0.01,0
0.06,0
0.04,0
0.8,1
0.14,1
0.59,1
0.555,1
0.005,0
0.0,0
0.0,0
0.025,0
0.0,0
0.01,0
0.0,0
0.0,0
0.12,0
0.0,0
0.0,0
0.0,0
0.0,0
0.025,0
0.12,0
0.0,0
0.04,0
0.025,0
0.0,0
0.0,0
0.005,0
0.015,0
0.0,0
0.005,0
0.015,0
0.0,0
0.095,0
0.01,0
0.01,0
0.0,0
0.0,0
0.0,0
0.055,0
0.025,0
0.005,0
0.12,0
0.005,0
0.045,0
0.005,0
0.015,0
0.025,0
0.0,0
0.025,0
0.04,0
0.04,0
0.045,0
0.0,0
0.0,0
0.0,0
0.005,0
0.0,0
0.0,0
0.025,0
0.0,0
0.01,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.01,0
0.015,0
0.0,0
0.0,0
0.0,0
0.0,0
0.005,0
0.03,0
0.005,0
0.0,0
0.01,0
0.08,0
0.005,0
0.015,0
0.0,0
0.06,0
0.28,0
0.0,0
0.05,0
0.0,0
0.01,0
0.015,0
0.02,0
0.4,1
0.05,1
0.12,1
0.165,1
0.09,0
0.0,0
0.01,0
0.015,0
0.18,0
0.005,0
0.1,0
0.01,0
0.115,0
0.0,0
0.0,0
0.0,0
0.0,0
0.005,0
0.05,0
0.0,0
0.0,0
0.005,0
0.0,0
0.01,0
0.005,0
0.085,0
0.0,0
0.0,0
0.115,0
0.065,0
0.025,0
0.01,0
0.0,0
0.0,0
0.005,0
0.115,0
0.0,0
0.035,0
0.0,0
0.0,0
0.0,0
0.035,0
0.07,0
0.015,0
0.05,0
0.0,0
0.03,0
0.01,0
0.01,0
0.005,0
0.01,0
0.005,0
0.0,0
0.075,0
0.025,0
0.0,0
0.015,0
0.405,0
0.01,0
0.0,0
0.045,0
0.0,0
0.0,0
0.02,0
0.005,0
0.01,0
0.065,0
0.0,0
0.0,0
0.0,0
0.02,0
0.01,0
0.005,0
0.0,0
0.0,0
0.0,0
0.125,0
0.115,0
0.04,0
0.005,0
0.0,0
0.015,0
0.045,0
0.0,0
0.0,0
0.005,0
0.015,0
0.025,0
0.005,0
0.0,0
0.785,1
0.53,1
0.69,1
0.825,1
0.035,0
0.03,0
0.0,0
0.015,0
0.0,0
0.015,0
0.0,0
0.01,0
0.0,0
0.745,0
0.0,0
0.0,0
0.045,0
0.015,0
0.0,0
0.0,0
0.0,0
0.0,0
0.07,0
0.06,0
0.01,0
0.05,0
0.0,0
0.015,0
0.0,0
0.0,0
0.03,0
0.01,0
0.015,0
0.015,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.01,0
0.01,0
0.0,0
0.0,0
0.0,0
0.205,0
0.155,0
0.035,0
0.005,0
0.005,0
0.0,0
0.0,0
0.005,0
0.035,0
0.045,0
0.02,0
0.035,0
0.0,0
0.01,0
0.005,0
0.005,0
0.0,0
0.0,0
0.0,0
0.01,0
0.03,0
0.05,0
0.0,0
0.07,0
0.02,0
0.0,0
0.0,0
0.005,0
0.295,0
0.0,0
0.0,0
0.0,0
0.0,0
0.01,0
0.205,0
0.005,0
0.0,0
0.0,0
0.01,0
0.0,0
0.02,0
0.0,0
0.0,0
0.0,0
0.075,0
0.16,0
0.16,1
0.45,1
0.21,1
0.5,1
0.005,0
0.01,0
0.005,0
0.035,0
0.0,0
0.015,0
0.0,0
0.0,0
0.025,0
0.0,0
0.12,0
0.0,0
0.015,0
0.01,0
0.055,0
0.07,0
0.165,0
0.0,0
0.33,0
0.09,0
0.0,0
0.0,0
0.06,0
0.005,0
0.0,0
0.085,0
0.0,0
0.02,0
0.01,0
0.005,0
0.125,0
0.015,0
0.0,0
0.0,0
0.025,0
0.245,0
0.025,0
0.02,0
0.015,0
0.01,0
0.0,0
0.06,0
0.0,0
0.005,0
0.005,0
0.07,0
0.005,0
0.05,0
0.04,0
0.0,0
0.0,0
0.02,0
0.01,0
0.0,0
0.01,0
0.0,0
0.015,0
0.005,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.07,0
0.255,0
0.03,0
0.0,0
0.075,0
0.095,0
0.03,0
0.015,0
0.01,0
0.145,0
0.025,0
0.005,0
0.185,0
0.05,0
0.0,0
0.005,0
0.0,0
0.0,0
0.0,0
0.075,0
0.0,0
