threshold,fpr,tpr
0.0,0.96,1.0
0.01,0.95,1.0
0.02,0.94,1.0
0.03,0.9,1.0
0.04,0.86,1.0
0.05,0.82,1.0
0.06,0.79,1.0
0.07,0.78,1.0
0.08,0.74,1.0
0.09,0.71,1.0
0.1,0.69,1.0
0.11,0.65,1.0
0.12,0.62,1.0
0.13,0.6,0.99
0.14,0.58,0.99
0.15,0.56,0.99
0.16,0.53,0.99
0.17,0.52,0.99
0.18,0.5,0.99
0.19,0.49,0.99
0.2,0.47,0.99
0.21,0.45,0.99
0.22,0.44,0.99
0.23,0.42,0.99
0.24,0.4,0.99
0.25,0.37,0.99
0.26,0.37,0.99
0.27,0.36,0.99
0.28,0.35,0.98
0.29,0.34,0.98
0.3,0.33,0.98
0.31,0.33,0.98
0.32,0.33,0.98
0.33,0.3,0.98
0.34,0.28,0.98
0.35,0.27,0.98
0.36,0.25,0.98
0.37,0.25,0.98
0.38,0.23,0.98
0.39,0.23,0.98
0.4,0.22,0.97
0.41,0.21,0.97
0.42,0.19,0.97
0.43,0.19,0.97
0.44,0.17,0.97
0.45,0.17,0.97
0.46,0.16,0.96
0.47,0.14,0.96
0.48,0.12,0.96
0.49,0.12,0.96
0.5,0.11,0.95
0.51,0.11,0.95
0.52,0.11,0.95
0.53,0.11,0.94
0.54,0.1,0.94
0.55,0.09,0.94
0.56,0.08,0.94
0.57,0.08,0.94
0.58,0.08,0.93
0.59,0.07,0.93
0.6,0.07,0.93
0.61,0.06,0.93
0.62,0.06,0.93
0.63,0.05,0.92
0.64,0.04,0.92
0.65,0.04,0.91
0.66,0.04,0.91
0.67,0.04,0.91
0.68,0.04,0.91
0.69,0.04,0.9
0.7,0.04,0.9
0.71,0.04,0.89
0.72,0.04,0.89
0.73,0.04,0.88
0.74,0.03,0.88
0.75,0.03,0.88
0.76,0.03,0.88
0.77,0.03,0.87
0.78,0.02,0.86
0.79,0.02,0.86
0.8,0.01,0.85
0.81,0.01,0.85
0.82,0.01,0.84
0.83,0.01,0.84
0.84,0.01,0.83
0.85,0.01,0.82
0.86,0.01,0.8
0.87,0.0,0.79
0.88,0.0,0.77
0.89,0.0,0.76
0.9,0.0,0.74
0.91,0.0,0.72
0.92,0.0,0.7
0.93,0.0,0.67
0.94,0.0,0.64
0.95,0.0,0.59
0.96,0.0,0.54
0.97,0.0,0.47
0.98,0.0,0.38
0.99,0.0,0.27
1.0,0.0,0.0
